"","GENE_SYMBOL","p_value","odds_ratio","p_value_adj"
"1","A1BG",1,0,1
"2","A1BG-AS1",0.255056179775281,0,1
"3","A1CF",1,0,1
"4","A2M",1,0.91227863529486,1
"5","A2ML1",1,0,1
"6","A3GALT2",1,0,1
"7","A4GALT",0.433333333333333,Inf,1
"8","A4GNT",0.433333333333333,Inf,1
"9","AACS",1,1.31381951940108,1
"10","AADACL2",0.433333333333333,Inf,1
"11","AADACL4",1,0,1
"12","AADAT",0.433333333333333,Inf,1
"13","AAGAB",0.433333333333333,Inf,1
"14","AAK1",0.18361581920904,Inf,1
"15","AAMDC",0.500564971751412,0,1
"16","AAMP",1,0,1
"17","AARS2",1,0,1
"18","AASDH",0.573758036236119,2.70412427824264,1
"19","AATK",1,0.867700776021095,1
"20","ABAT",0.433333333333333,Inf,1
"21","ABCA1",1,1.31381951940108,1
"22","ABCA10",1,1.31381951940108,1
"23","ABCA12",1,1.31381951940108,1
"24","ABCA13",0.0369236754407337,0,1
"25","ABCA2",0.762313740763275,0.74063949452321,1
"26","ABCA3",0.405322059786785,2.68789027334791,1
"27","ABCA4",1,1.31689955794201,1
"28","ABCA5",1,0,1
"29","ABCA6",1,0.647765169260659,1
"30","ABCA7",0.0267663594453301,0.125211678462987,1
"31","ABCA9",0.630252544820542,0.42475024515409,1
"32","ABCB1",1,1.31381951940108,1
"33","ABCB10",1,1.31381951940108,1
"34","ABCB11",0.500564971751412,0,1
"35","ABCB4",0.500564971751412,0,1
"36","ABCB6",1,0,1
"37","ABCB8",1,1.31689955794201,1
"38","ABCB9",0.255056179775281,0,1
"39","ABCC1",1,0,1
"40","ABCC10",1,0,1
"41","ABCC11",1,0,1
"42","ABCC12",0.433333333333333,Inf,1
"43","ABCC2",1,1.31381951940108,1
"44","ABCC3",1,0.647765169260659,1
"45","ABCC4",0.500564971751412,0,1
"46","ABCC5",0.63228410008071,0.427597555272113,1
"47","ABCC6",0.433333333333333,Inf,1
"48","ABCC6P1",0.433333333333333,Inf,1
"49","ABCC8",1,1.31689955794201,1
"50","ABCC9",0.433333333333333,Inf,1
"51","ABCD1",1,1.31381951940108,1
"52","ABCD3",1,0,1
"53","ABCD4",0.500564971751412,0,1
"54","ABCF1",0.500564971751412,0,1
"55","ABCF3",1,1.31381951940108,1
"56","ABCG1",1,1.31381951940108,1
"57","ABCG2",0.627805145046525,2.18846288811872,1
"58","ABCG4",1,0.647765169260659,1
"59","ABCG8",1,1.31381951940108,1
"60","ABHD11",1,0,1
"61","ABHD12",1,0,1
"62","ABHD15",0.500564971751412,0,1
"63","ABHD16A",1,1.31381951940108,1
"64","ABHD16B",1,0,1
"65","ABHD17A",0.573758036236119,2.70412427824264,1
"66","ABHD17AP5",1,0.647765169260659,1
"67","ABHD17AP6",1,0,1
"68","ABHD5",1,0.647765169260659,1
"69","ABHD8",0.500564971751412,0,1
"70","ABI2",0.433333333333333,Inf,1
"71","ABI3BP",0.500564971751412,0,1
"72","ABL1",0.62385638431445,0.756688672809325,1
"73","ABL2",1,0,1
"74","ABLIM3",1,1.31381951940108,1
"75","ABR",1,0,1
"76","ABRAXAS1",1,1.31689955794201,1
"77","ABT1",1,1.31381951940108,1
"78","ABTB2",0.63228410008071,0.427597555272113,1
"79","ACAA1",0.433333333333333,Inf,1
"80","ACACA",0.500564971751412,0,1
"81","ACACB",1,1.31792783685994,1
"82","ACAD10",1,1.31381951940108,1
"83","ACAD11",0.433333333333333,Inf,1
"84","ACADL",1,0,1
"85","ACADM",0.18361581920904,Inf,1
"86","ACADS",0.500564971751412,0,1
"87","ACADVL",0.630252544820542,0.42475024515409,1
"88","ACAN",0.638368727309712,0.75125273097116,1
"89","ACAP1",1,1.31381951940108,1
"90","ACAP2",1,0.647765169260659,1
"91","ACAP3",1,0.647765169260659,1
"92","ACAT1",0.433333333333333,Inf,1
"93","ACAT2",1,0,1
"94","ACBD3",0.433333333333333,Inf,1
"95","ACBD6",0.433333333333333,Inf,1
"96","ACCS",1,0,1
"97","ACD",1,0,1
"98","ACE",1,0.979985514673106,1
"99","ACER1",0.500564971751412,0,1
"100","ACER3",1,1.31381951940108,1
"101","ACIN1",1,1.05619239084826,1
"102","ACKR4",0.433333333333333,Inf,1
"103","ACKR4P1",1,0,1
"104","ACLY",0.433333333333333,Inf,1
"105","ACMSD",0.433333333333333,Inf,1
"106","ACO2",1,1.32043730154981,1
"107","ACOT12",1,1.31381951940108,1
"108","ACOT4",1,0,1
"109","ACOT7",1,0,1
"110","ACOT9",1,0,1
"111","ACOX3",0.500564971751412,0,1
"112","ACOXL",0.38914945626355,0.318510228240838,1
"113","ACP1",1,0,1
"114","ACP3",0.500564971751412,0,1
"115","ACP4",1,0,1
"116","ACP5",1,1.31381951940108,1
"117","ACP6",0.500564971751412,0,1
"118","ACP7",1,1.31381951940108,1
"119","ACR",0.652735649793662,1.99868115647313,1
"120","ACRBP",1,1.31381951940108,1
"121","ACRP1",1,1.31381951940108,1
"122","ACSBG1",0.0777919645897174,Inf,1
"123","ACSF2",1,1.31381951940108,1
"124","ACSF3",0.132095776163573,0,1
"125","ACSL3",1,0.647765169260659,1
"126","ACSL6",0.18361581920904,Inf,1
"127","ACSM1",0.433333333333333,Inf,1
"128","ACSM2A",0.38914945626355,0.318510228240838,1
"129","ACSM3",0.500564971751412,0,1
"130","ACSM5P1",0.433333333333333,Inf,1
"131","ACSM6",0.433333333333333,Inf,1
"132","ACSS1",0.652735649793662,1.99868115647313,1
"133","ACSS2",1,0.647765169260659,1
"134","ACTA1",1,0,1
"135","ACTA2",0.18361581920904,Inf,1
"136","ACTB",0.18361581920904,Inf,1
"137","ACTG1",1,1.31381951940108,1
"138","ACTG1P17",0.500564971751412,0,1
"139","ACTG2",1,0,1
"140","ACTL6A",0.500564971751412,0,1
"141","ACTL7A",1,0,1
"142","ACTL7B",1,0.644595148149946,1
"143","ACTL8",1,0,1
"144","ACTL9",1,0,1
"145","ACTN1",1,1.31381951940108,1
"146","ACTN2",1,1.31381951940108,1
"147","ACTN4",1,0,1
"148","ACTR1B",0.433333333333333,Inf,1
"149","ACTR3B",0.433333333333333,Inf,1
"150","ACTR3BP1",0.0673235975966054,2.87869264098157,1
"151","ACTR3BP2",1,1.31381951940108,1
"152","ACTR3BP5",0.179310344827586,Inf,1
"153","ACTR8",0.38914945626355,0.318510228240838,1
"154","ACTRT2",0.500564971751412,0,1
"155","ACVR1",0.38914945626355,0.318510228240838,1
"156","ACVR1B",1,0,1
"157","ACVR1C",1,1.31381951940108,1
"158","ACVR2A",1,0,1
"159","ACVRL1",0.433333333333333,Inf,1
"160","ACY1",0.573758036236119,2.70412427824264,1
"161","ADA",0.500564971751412,0,1
"162","ADA2",0.57673646578141,2.67317690398778,1
"163","ADAD1",1,0,1
"164","ADAD2",0.433333333333333,Inf,1
"165","ADAM10",0.500564971751412,0,1
"166","ADAM11",1,1.32043730154981,1
"167","ADAM12",1,0,1
"168","ADAM15",1,1.31381951940108,1
"169","ADAM17",0.433333333333333,Inf,1
"170","ADAM18",1,0,1
"171","ADAM19",0.500564971751412,0,1
"172","ADAM2",1,0,1
"173","ADAM20P1",1,1.32007433111754,1
"174","ADAM21",1,0.644595148149946,1
"175","ADAM21P1",0.694321871299426,0.638230361509328,1
"176","ADAM23",0.63228410008071,0.427597555272113,1
