"","GENE_SYMBOL","p_value","odds_ratio","p_value_adj"
"1","A1BG",0.3,0,1
"2","A1BG-AS1",0.551149131767109,Inf,1
"3","A1CF",1,Inf,1
"4","A2M",0.436405788725669,0.628409215320927,1
"5","A2ML1",0.3,0,1
"6","A3GALT2",1,Inf,1
"7","A4GALT",1,Inf,1
"8","A4GNT",1,Inf,1
"9","AACS",0.513559322033898,0.421541817082256,1
"10","AADACL2",0.3,0,1
"11","AADACL4",1,Inf,1
"12","AADAT",1,Inf,1
"13","AAGAB",1,Inf,1
"14","AAK1",1,Inf,1
"15","AAMDC",1,Inf,1
"16","AAMP",1,Inf,1
"17","AARS2",1,Inf,1
"18","AASDH",1,0.852386217286032,1
"19","AATK",0.320535740259328,Inf,1
"20","ABAT",1,Inf,1
"21","ABCA1",1,Inf,1
"22","ABCA10",1,Inf,1
"23","ABCA12",1,Inf,1
"24","ABCA13",0.180540873058207,Inf,1
"25","ABCA2",0.183673593876165,4.42096454042314,1
"26","ABCA3",0.670163493490176,2.18209082999063,1
"27","ABCA4",0.315070174093105,Inf,1
"28","ABCA5",1,Inf,1
"29","ABCA6",1,0.854030472826908,1
"30","ABCA7",1,1.14750773635605,1
"31","ABCA9",1,1.29636264341262,1
"32","ABCB1",1,Inf,1
"33","ABCB10",1,Inf,1
"34","ABCB11",1,Inf,1
"35","ABCB4",0.513559322033898,0.421541817082256,1
"36","ABCB6",1,Inf,1
"37","ABCB8",0.582421964874607,0.418072417457107,1
"38","ABCB9",0.551149131767109,Inf,1
"39","ABCC1",1,Inf,1
"40","ABCC10",1,Inf,1
"41","ABCC11",1,Inf,1
"42","ABCC12",0.3,0,1
"43","ABCC2",1,Inf,1
"44","ABCC3",0.551149131767109,Inf,1
"45","ABCC4",1,Inf,1
"46","ABCC5",0.315070174093105,Inf,1
"47","ABCC6",0.3,0,1
"48","ABCC6P1",1,Inf,1
"49","ABCC8",0.315070174093105,Inf,1
"50","ABCC9",1,Inf,1
"51","ABCD1",0.513559322033898,0.421541817082256,1
"52","ABCD3",1,Inf,1
"53","ABCD4",1,Inf,1
"54","ABCF1",1,Inf,1
"55","ABCF3",1,Inf,1
"56","ABCG1",1,Inf,1
"57","ABCG2",1,1.84664905540066,1
"58","ABCG4",0.551149131767109,Inf,1
"59","ABCG8",1,Inf,1
"60","ABHD11",0.3,0,1
"61","ABHD12",1,Inf,1
"62","ABHD15",1,Inf,1
"63","ABHD16A",1,Inf,1
"64","ABHD16B",1,Inf,1
"65","ABHD17A",0.547106954997078,Inf,1
"66","ABHD17AP5",0.551149131767109,Inf,1
"67","ABHD17AP6",1,Inf,1
"68","ABHD5",0.551149131767109,Inf,1
"69","ABHD8",0.513559322033898,0.421541817082256,1
"70","ABI2",1,Inf,1
"71","ABI3BP",1,Inf,1
"72","ABL1",1,1.09269124963878,1
"73","ABL2",1,Inf,1
"74","ABLIM3",1,Inf,1
"75","ABR",1,Inf,1
"76","ABRAXAS1",0.315070174093105,Inf,1
"77","ABT1",1,Inf,1
"78","ABTB2",0.582421964874607,0.418072417457107,1
"79","ACAA1",0.3,0,1
"80","ACACA",1,Inf,1
"81","ACACB",0.180540873058207,Inf,1
"82","ACAD10",1,Inf,1
"83","ACAD11",1,Inf,1
"84","ACADL",1,Inf,1
"85","ACADM",1,Inf,1
"86","ACADS",1,Inf,1
"87","ACADVL",0.0789862984748688,0.132433181494923,1
"88","ACAN",0.802559929126099,1.21219648926266,1
"89","ACAP1",0.513559322033898,0.421541817082256,1
"90","ACAP2",0.551149131767109,Inf,1
"91","ACAP3",1,0.854030472826908,1
"92","ACAT1",1,Inf,1
"93","ACAT2",1,Inf,1
"94","ACBD3",1,Inf,1
"95","ACBD6",1,Inf,1
"96","ACCS",0.3,0,1
"97","ACD",1,Inf,1
"98","ACE",0.243759611340571,2.651216135555,1
"99","ACER1",1,Inf,1
"100","ACER3",1,Inf,1
"101","ACIN1",0.3657176442452,1.62008361034432,1
"102","ACKR4",1,Inf,1
"103","ACKR4P1",1,Inf,1
"104","ACLY",0.3,0,1
"105","ACMSD",1,Inf,1
"106","ACO2",1,Inf,1
"107","ACOT12",0.513559322033898,0.421541817082256,1
"108","ACOT4",1,Inf,1
"109","ACOT7",1,Inf,1
"110","ACOT9",1,Inf,1
"111","ACOX3",0.513559322033898,0.421541817082256,1
"112","ACOXL",1,1.73685658454464,1
"113","ACP1",1,Inf,1
"114","ACP3",0.513559322033898,0.421541817082256,1
"115","ACP4",1,Inf,1
"116","ACP5",1,Inf,1
"117","ACP6",1,Inf,1
"118","ACP7",0.513559322033898,0.421541817082256,1
"119","ACR",0.322691464366559,Inf,1
"120","ACRBP",0.513559322033898,0.421541817082256,1
"121","ACRP1",1,Inf,1
"122","ACSBG1",1,0.854030472826908,1
"123","ACSF2",1,Inf,1
"124","ACSF3",0.315070174093105,Inf,1
"125","ACSL3",0.0248978549540347,0,1
"126","ACSL6",1,Inf,1
"127","ACSM1",1,Inf,1
"128","ACSM2A",1,1.73685658454464,1
"129","ACSM3",0.0864406779661016,0,1
"130","ACSM5P1",1,Inf,1
"131","ACSM6",1,Inf,1
"132","ACSS1",0.322691464366559,Inf,1
"133","ACSS2",1,0.854030472826908,1
"134","ACTA1",1,Inf,1
"135","ACTA2",0.513559322033898,0.421541817082256,1
"136","ACTB",0.513559322033898,0.421541817082256,1
"137","ACTG1",1,Inf,1
"138","ACTG1P17",0.513559322033898,0.421541817082256,1
"139","ACTG2",1,Inf,1
"140","ACTL6A",1,Inf,1
"141","ACTL7A",0.3,0,1
"142","ACTL7B",1,0.852386217286032,1
"143","ACTL8",1,Inf,1
"144","ACTL9",1,Inf,1
"145","ACTN1",0.513559322033898,0.421541817082256,1
"146","ACTN2",0.513559322033898,0.421541817082256,1
"147","ACTN4",1,Inf,1
"148","ACTR1B",1,Inf,1
"149","ACTR3B",1,Inf,1
"150","ACTR3BP1",0.000481090201450469,12.4518647158805,0.222957209215674
"151","ACTR3BP2",0.513559322033898,0.421541817082256,1
"152","ACTR3BP5",0.517241379310345,0.414037037905611,1
"153","ACTR8",0.636392259817837,0.634437248676446,1
"154","ACTRT2",1,Inf,1
"155","ACVR1",0.636392259817837,0.634437248676446,1
"156","ACVR1B",1,Inf,1
"157","ACVR1C",1,Inf,1
"158","ACVR2A",1,Inf,1
"159","ACVRL1",1,Inf,1
"160","ACY1",0.211630625365283,0.201377588357018,1
"161","ADA",1,Inf,1
"162","ADA2",1,0.854030472826908,1
"163","ADAD1",1,Inf,1
"164","ADAD2",1,Inf,1
"165","ADAM10",0.513559322033898,0.421541817082256,1
"166","ADAM11",0.0827586206896551,0,1
"167","ADAM12",1,Inf,1
"168","ADAM15",1,Inf,1
"169","ADAM17",1,Inf,1
"170","ADAM18",1,Inf,1
"171","ADAM19",1,Inf,1
"172","ADAM2",0.3,0,1
"173","ADAM20P1",0.668991574454858,2.19029956143018,1
"174","ADAM21",0.547106954997078,Inf,1
"175","ADAM21P1",0.664192897298285,2.22443654017119,1
"176","ADAM23",0.315070174093105,Inf,1
"177","ADAM28",1,Inf,1
"178","ADAM29",0.241484033708056,0.408700623810203,1
"179","ADAM30",1,Inf,1
"180","ADAM33",1,Inf,1
"181","ADAM7",1,Inf,1
"182","ADAM8",0.312105949068367,Inf,1
"183","ADAMTS1",1,Inf,1
"184","ADAMTS10",1,Inf,1
"185","ADAMTS12",1,Inf,1
"186","ADAMTS13",0.513559322033898,0.421541817082256,1
"187","ADAMTS14",0.551149131767109,Inf,1
"188","ADAMTS15",1,Inf,1
"189","ADAMTS17",1,1.29359912432262,1
"190","ADAMTS18",1,1.29636264341262,1
"191","ADAMTS19",1,Inf,1
"192","ADAMTS2",0.512814471261897,1.97625661445783,1
"193","ADAMTS20",1,Inf,1
"194","ADAMTS4",0.551149131767109,Inf,1
"195","ADAMTS5",1,Inf,1
"196","ADAMTS6",1,Inf,1
"197","ADAMTS7",0.677122526752348,2.62855979257664,1
"198","ADAMTS7P1",1,0.854030472826908,1
"199","ADAMTS7P3",1,Inf,1
"200","ADAMTS8",1,Inf,1
"201","ADAMTS9",1,0.854030472826908,1
"202","ADAMTSL1",0.670163493490176,2.18209082999063,1
"203","ADAMTSL2",1,Inf,1
"204","ADAMTSL3",1,1.29359912432262,1
"205","ADAMTSL4",0.458127548662805,0.523010355715244,1
"206","ADAMTSL5",0.3,0,1
"207","ADAP1",0.255577120298182,4.54600385642795,1
"208","ADAR",1,Inf,1
"209","ADARB1",1,Inf,1
"210","ADARB2",0.427061715871512,0.553032864614523,1
"211","ADAT3",0.3,0,1
"212","ADCK1",0.53448275862069,Inf,1
"213","ADCK5",1,Inf,1
"214","ADCY1",1,Inf,1
"215","ADCY10",1,Inf,1
"216","ADCY10P1",1,Inf,1
"217","ADCY2",1,Inf,1
"218","ADCY3",0.513559322033898,0.421541817082256,1
"219","ADCY4",0.0977695492796243,Inf,1
"220","ADCY5",1,Inf,1
"221","ADCY6",1,Inf,1
"222","ADCY7",1,Inf,1
"223","ADCY8",0.513559322033898,0.421541817082256,1
"224","ADCY9",1,Inf,1
"225","ADCYAP1",0.580384628931704,0.414439027299183,1
"226","ADCYAP1R1",1,Inf,1
"227","ADD2",1,Inf,1
"228","ADD3",0.513559322033898,0.421541817082256,1
"229","ADGB",0.513559322033898,0.421541817082256,1
"230","ADGRA1",0.315070174093105,Inf,1
"231","ADGRA2",0.312105949068367,Inf,1
"232","ADGRA3",1,Inf,1
"233","ADGRB1",1,1.73685658454464,1
"234","ADGRB2",1,1.73685658454464,1
"235","ADGRB3",1,Inf,1
"236","ADGRD1",1,Inf,1
"237","ADGRD2",1,1.73685658454464,1
"238","ADGRE1",1,Inf,1
"239","ADGRE2",1,1.73685658454464,1
"240","ADGRE3",1,Inf,1
"241","ADGRE4P",0.3,0,1
"242","ADGRE5",0.513559322033898,0.421541817082256,1
"243","ADGRF2",1,Inf,1
"244","ADGRF3",1,Inf,1
"245","ADGRF4",1,Inf,1
"246","ADGRF5",0.636392259817837,0.634437248676446,1
"247","ADGRG2",1,Inf,1
"248","ADGRG4",0.213125638406537,0.205779383316691,1
"249","ADGRG6",0.69693996780573,0.701762137088889,1
"250","ADGRG7",1,Inf,1
"251","ADGRL1",1,0.853251378528669,1
"252","ADGRL3",0.430624670832097,0.561159697470651,1
"253","ADGRL4",1,Inf,1
"254","ADGRV1",0.109626370797719,Inf,1
"255","ADH1A",1,Inf,1
"256","ADH1B",1,Inf,1
"257","ADH1C",0.513559322033898,0.421541817082256,1
"258","ADH4",1,Inf,1
"259","ADHFE1",1,1.29359912432262,1
"260","ADI1",0.551149131767109,Inf,1
"261","ADIPOR1",1,Inf,1
"262","ADIRF",1,Inf,1
"263","ADM",1,Inf,1
"264","ADNP",1,Inf,1
"265","ADO",1,Inf,1
"266","ADORA1",1,Inf,1
"267","ADORA2A",1,Inf,1
"268","ADORA2A-AS1",0.3,0,1
"269","ADORA2B",1,Inf,1
"270","ADPGK",0.513559322033898,0.421541817082256,1
"271","ADRA1B",1,Inf,1
"272","ADRA1D",1,Inf,1
"273","ADRA2A",1,Inf,1
"274","ADRA2B",1,Inf,1
"275","ADRA2C",1,0.854030472826908,1
"276","ADRB1",0.3,0,1
"277","ADRB2",1,Inf,1
"278","ADSL",1,Inf,1
"279","ADSS1",0.179008632945285,Inf,1
"280","AEBP1",0.3,0,1
"281","AEBP2",1,Inf,1
"282","AFAP1",0.513559322033898,0.421541817082256,1
"283","AFAP1-AS1",0.3,0,1
"284","AFAP1L1",0.3,0,1
"285","AFAP1L2",1,Inf,1
"286","AFDN",0.0248978549540347,0,1
"287","AFDN-DT",0.27435896681094,0.769808221007167,1
"288","AFF1",1,Inf,1
"289","AFF2",1,Inf,1
"290","AFF3",0.551149131767109,Inf,1
"291","AFF4",1,Inf,1
"292","AFG1L",1,Inf,1
"293","AFG3L2",1,Inf,1
"294","AFMID",1,Inf,1
"295","AFTPH",0.547106954997078,Inf,1
"296","AGA",1,Inf,1
"297","AGAP1",1,Inf,1
"298","AGAP10P",0.725464449325336,1.75777065822124,1
"299","AGAP11",0.501955111766251,2.0294366852933,1
"300","AGAP12P",1,1.29359912432262,1
"301","AGAP13P",1,Inf,1
"302","AGAP14P",1,1.07395673041207,1
"303","AGAP2",0.775704606389848,1.46040109148413,1
"304","AGAP3",0.304014828631656,0.599001863276626,1
"305","AGAP4",0.326529818980848,1.92768607542627,1
"306","AGAP5",0.182015609663338,0.276203671573169,1
"307","AGAP6",0.436308340118658,3.12434892353304,1
"308","AGAP7P",1,Inf,1
"309","AGAP9",1,1,1
"310","AGBL1",1,0.854030472826908,1
"311","AGBL3",0.3,0,1
"312","AGBL4",1,Inf,1
"313","AGBL5",1,Inf,1
"314","AGFG1",1,Inf,1
"315","AGK",1,Inf,1
"316","AGO1",0.3,0,1
"317","AGO4",1,Inf,1
"318","AGPAT1",0.513559322033898,0.421541817082256,1
"319","AGPAT4-IT1",1,Inf,1
"320","AGPS",1,Inf,1
"321","AGRN",1,1.14858756884997,1
"322","AGTR1",1,Inf,1
"323","AHCTF1",0.551149131767109,Inf,1
"324","AHDC1",0.636392259817837,0.634437248676446,1
"325","AHNAK",0.171499716034615,0.412760716879545,1
"326","AHNAK2",0.00165261702466673,2.90732833185077,0.519055741720326
"327","AHRR",1,Inf,1
"328","AHSA2P",0.3,0,1
"329","AHSG",1,Inf,1
"330","AHSP",1,Inf,1
"331","AIF1L",0.0864406779661016,0,1
"332","AIFM3",1,Inf,1
"333","AIG1",0.3,0,1
"334","AIMP1",1,Inf,1
"335","AIP",1,Inf,1
"336","AIRE",0.698063689556077,0.703937743532389,1
"337","AJAP1",1,1,1
"338","AJUBA",0.513559322033898,0.421541817082256,1
"339","AK2",0.80903574274065,1.18526109862716,1
"340","AK5",0.315070174093105,Inf,1
"341","AK7",0.551149131767109,Inf,1
"342","AK8",0.3,0,1
"343","AK9",0.0801825293350717,0.13508386118405,1
"344","AKAIN1",1,Inf,1
"345","AKAP1",1,Inf,1
"346","AKAP12",0.322691464366559,Inf,1
"347","AKAP13",0.670163493490176,2.18209082999063,1
"348","AKAP14",1,Inf,1
"349","AKAP17A",0.513559322033898,0.421541817082256,1
"350","AKAP3",0.3,0,1
"351","AKAP5",0.213125638406537,0.205779383316691,1
"352","AKAP6",1,1.73685658454464,1
"353","AKAP8L",1,Inf,1
"354","AKAP9",0.213125638406537,0.205779383316691,1
"355","AKNA",0.551149131767109,Inf,1
"356","AKNAD1",1,Inf,1
"357","AKR1B1P6",1,Inf,1
"358","AKR1C2",0.703563602813977,1.48013944336913,1
